"";"location_adress";"year";"day";"date_from_to";"weeknr";"time_from";"time_to";"event_naam";"location";"openbareruimtenaam";"rdx";"rdy";"lon.x";"lat.x";"nday";"location_ch";"lon.y";"lat.y"
"4326";"wilhelminapark,utrecht";2013;"zondag";"20-10-2013";"42";"10:15";"15:00";"Maliebaanloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4327";"wilhelminapark,utrecht";2015;"zondag";"27/09/2015";"39";"06:00";"00:00";"Singelloop tegen Reuma";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4328";"wilhelminapark,utrecht";2016;"zondag";"02/10/2016";"39";"9.3";"18:00";"Singelloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4329";"wilhelminapark,utrecht";2015;"zondag";"21/06/2015";"25";"12:00";"18:30";"Dag van het wilhelminapark";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4330";"wilhelminapark,utrecht";2013;"donderdag";"17-10-2013";"42";"13:00";"15:30";"Utrecht hangt de vuile was buiten";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"donderdag";"Wilhelminapark";5,1418167;52,0905758
"4331";"wilhelminapark,utrecht";2014;"zondag";"19/10/2014";"42";"10:00";"15:15";"Maliebaanloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4332";"wilhelminapark,utrecht";2012;"woensdag";"04/04/2012";"14";"07:30";"15:00";"Filmopnames afstudeerplan Wilhelminapark";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"woensdag";"Wilhelminapark";5,1418167;52,0905758
"4333";"wilhelminapark,utrecht";2011;"vrijdag";"12-06-2011";"23";"15:30";"17:00";"Nationaal Concert";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"vrijdag";"Wilhelminapark";5,1418167;52,0905758
"4334";"wilhelminapark,utrecht";2014;"zondag";"15-06-2014";"24";"12:00";"18:30";"Dag van het WHP";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4335";"wilhelminapark,utrecht";2013;"zaterdag";"04-10-2013 tm 06-2013";"";"16:00";"20:30";"Magic Circus";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zaterdag";"Wilhelminapark";5,1418167;52,0905758
"4336";"wilhelminapark,utrecht";2012;"zondag";"21/10/2012";"42";"10:30";"15:00";"Maliebaanloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4337";"wilhelminapark,utrecht";2013;"zondag";"29-09-2013";"39";"6:00";"16:00";"Singelloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4338";"wilhelminapark,utrecht";2016;"zondag";"14-08-2016 t/m 18-08-2016";"32";"12:00";"23:00";"UIT-Dagen";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4339";"wilhelminapark,utrecht";2016;"zaterdag";"11/06/2016";"23";"10:00";"21:00";"Urban Chase";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zaterdag";"Wilhelminapark";5,1418167;52,0905758
"4340";"wilhelminapark,utrecht";2011;"vrijdag";"11-11-2011 t/m 09-12-2011";"45";"";"";"Objectvergunning Centraal Museum";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"vrijdag";"Wilhelminapark";5,1418167;52,0905758
"4341";"wilhelminapark,utrecht";2015;"woensdag";"12-08-2015";"33";"15:30";"20:30";"Uit NSU BBQ";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"woensdag";"Wilhelminapark";5,1418167;52,0905758
"4342";"wilhelminapark,utrecht";2013;"zaterdag";"08-06-2013";"23";"9:00";"17:30";"Dag van het gezonde diergewicht";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zaterdag";"Wilhelminapark";5,1418167;52,0905758
"4343";"wilhelminapark,utrecht";2013;"zondag";"22-09-2013";"38";"10:00";"12:00";"Breakfast hardloopclinic";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zondag";"Wilhelminapark";5,1418167;52,0905758
"4344";"wilhelminapark,utrecht";2016;"maandag";"15/08/2016";"33";"11:30";"14:00";"Lunches tijdens de UIT 2016";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"maandag";"Wilhelminapark";5,1418167;52,0905758
"4345";"wilhelminapark,utrecht";2014;"dinsdag";"06/05/2014";"19";"16:00";"23:00";"Zesuursloop";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"dinsdag";"Wilhelminapark";5,1418167;52,0905758
"4346";"wilhelminapark,utrecht";2015;"zaterdag";"13/06/2015";"24";"12:00";"20:00";"Utrechts Wielerweekend 2015";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"zaterdag";"Wilhelminapark";5,1418167;52,0905758
"4347";"wilhelminapark,utrecht";2013;"woensdag";"12-06-2013";"24";"15:00";"23:00";"Mission";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"woensdag";"Wilhelminapark";5,1418167;52,0905758
"4348";"wilhelminapark,utrecht";2015;"donderdag";"30/04/2015";"18";"17:00";"23:00";"Zes Uurs Loop (ZUL)";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"donderdag";"Wilhelminapark";5,1418167;52,0905758
"4349";"wilhelminapark,utrecht";2013;"donderdag";"20-06-2013";"25";"10:00";"23:00";"Kom over de Brug (donderdag)";"Wilhelminapark";"Wilhelminapark";137946;455567;5,138372;52,088102;"donderdag";"Wilhelminapark";5,1418167;52,0905758
