year;day;date_from_to;weeknr;time_from;time_to;event_naam;location;openbareruimtenaam;rdx;rdy;lon;lat
2011;vrijdag;22-04-2011 t/m 25-04-2011;16;10:00;18:00;Amis de France;Kasteel de Haar;;;;;
2011;dinsdag;19-04-2011;16;19:00;20;ZomerAvond Cup;Sportpark Amelisweerd en route;;;;;
2011;woensdag;21-04-2011;16;14:00;18:00;Springdance 2011 flashmob;Neude;Neude;136588;456080;5.118539;52.092668
2011;donderdag;21-04-2011;16;20:30;23:00;Las Nueve Open Air Tango;Korte Minrebroederstraat;Korte Minrebroederstraat;136709;456003;5.120304;52.091983
2011;maandag;25-04-2011 t/m 01-07-2011 ;16;13:30;17:00;Speeltuin Bankaplein;Billitonstraat;Billitonstraat;134901;455687;5.093944;52.089081
2011;zaterdag;23-04-2011;16;10:00;17:00;Braderie Rokade;WKC Rokade;;;;;
2011;zaterdag;23-04-2011;16;20:00;00:00;Parapluvergunning Molenerf de Ster-Openlucht filmvertoning;Molenerf de Ster;;;;;
2011;zaterdag;23-04-2011;16;;;Parapluvergunning Pasen;WKC Kanaleneiland;;;;;
2011;zaterdag;23-04-2011;16;22:30;00:00;Paasdienst en paaswake;Janskerkhof;Janskerkhof;136746;456088;5.120832;52.092745
2011;zaterdag;23-04-2011;16;;;Parapluvergunning WKC Overvecht;WKC Overvecht;;;;;
2011;maandag;25-04-2011;17;08:00;17:00;Jaarbeurs Utrecht Marathon;Jaarbeurs ;;;;;
2011;;25-04-2011 t/m 22-05-2011;17;;;Objectvergunning Augustus Oklahoma;Neude;Neude;136588;456080;5.118539;52.092668
2011;;25-04-2011 t/m 22-05-2011;17;;;Objectvergunning Augustus Oklahoma;Janskerkhof;Janskerkhof;136746;456088;5.120832;52.092745
2011;;25-04-2011 t/m 22-05-2011;17;;;Objectvergunning Augustus Oklahoma;Mariaplaats;Mariaplaats;136563;455768;5.118189;52.089861
2011;;25-04-2011 t/m 22-05-2011;17;;;Objectvergunning Augustus Oklahoma;Lucasbolwerk;Lucasbolwerk;137133;456096;5.126486;52.092829
2011;;25-04-2011 t/m 22-05-2011;17;;;Objectvergunning Augustus Oklahoma;St.Jacobsstraat;;;;;
2011;;25-04-2011 t/m 22-05-2011;17;;;Objectvergunning Augustus Oklahoma;Voorstraat;Voorstraat;136616;456206;5.118934;52.093805
2011;;25-04-2011 t/m 22-05-2011;17;;;Objectvergunning Augustus Oklahoma;Wolvenplein;Wolvenplein;137044;456510;5.125171;52.096547
2011;vrijdag;29-04-2011 t/m 30-04-2011;17;18:00 16:00;01:00 18:00;Evenementenplein Korte Minrebroederstraat;Korte Minrebroederstraat;Korte Minrebroederstraat;136709;456003;5.120304;52.091983
2011;donderdag;05-05-2011;18;12:00;23:00;Bevrijdingsfestival;Park Transwijk;;;;;
